price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,age,renovated,zipcode,lat,long,sqft_living15,sqft_lot15
221900,3,1,0.08714918759231906,0.0034214244146790612,1,0,0,3,7,0.12539851222104145,0.0,70,0,98178,47.5112,-122.257,0.21578099838969403,0.006485307621671258
538000,3,2,0.18980797636632202,0.004385478869222258,2,0,0,3,7,0.230605738575983,0.08298755186721991,74,1,98125,47.721,-122.319,0.2721417069243156,0.008768365472910928
180000,2,1,0.0568685376661743,0.006055618433060285,1,0,0,3,6,0.0818278427205101,0.0,92,0,98028,47.7379,-122.233,0.43800322061191627,0.009253902662993573
604000,4,3,0.1447562776957164,0.0030278092165301426,1,0,0,5,7,0.11158342189160468,0.1887966804979253,60,0,98136,47.5208,-122.393,0.21900161030595813,0.00573921028466483
510000,3,2,0.1240768094534712,0.004892939693912711,1,0,0,3,8,0.1785334750265675,0.0,38,0,98074,47.6168,-122.045,0.2898550724637681,0.008612258953168044
1225000,4,4,0.40029542097488924,0.06172491868818349,1,0,0,3,11,0.41339001062699254,0.31742738589211617,24,0,98053,47.6561,-122.005,0.7665056360708534,0.11699954086317722
257500,3,2,0.12666174298375185,0.004129326209503808,2,0,0,3,7,0.1822529224229543,0.0,30,0,98003,47.3097,-122.327,0.36038647342995167,0.007827134986225896
291850,3,1,0.07828655834564253,0.005880611060344843,1,0,0,3,7,0.1126461211477152,0.0,62,0,98198,47.4095,-122.315,0.26570048309178745,0.011146694214876032
229500,3,1,0.13146233382570163,0.004523546969496034,1,0,0,3,7,0.11158342189160468,0.15145228215767634,65,0,98146,47.5123,-122.337,0.286634460547504,0.009312442607897153
323000,3,2,0.1395864106351551,0.003972485692087547,2,0,0,3,7,0.20085015940488843,0.0,22,0,98038,47.3684,-122.031,0.38486312399355876,0.008689164370982553
662500,3,2,0.26292466765140327,0.005932083817025855,1,0,0,3,8,0.19766206163655686,0.35269709543568467,60,0,98007,47.6007,-122.145,0.355877616747182,0.010244490358126721
468000,2,1,0.08567208271787297,0.0036333710598361714,1,0,0,4,7,0.09139213602550478,0.06224066390041494,83,0,98115,47.69,-122.292,0.214170692431562,0.006887052341597796
310000,3,1,0.10561299852289513,0.012051286243633275,1,0,0,4,7,0.15196599362380447,0.0,98,0,98028,47.7558,-122.229,0.286634460547504,0.01457415059687787
400000,3,1,0.10118168389955687,0.005861838643202356,1,0,0,4,7,0.14558979808714134,0.0,48,0,98074,47.6127,-122.045,0.22061191626409019,0.011717171717171718
530000,5,2,0.13367799113737075,0.0029369749400342386,1,0,0,3,7,0.19234856535600425,0.0,125,0,98107,47.67,-122.394,0.21900161030595813,0.005567033976124885
650000,4,3,0.21787296898079764,0.0030278092165301426,2,0,3,3,9,0.2104144527098831,0.2012448132780083,46,0,98126,47.5714,-122.375,0.3446054750402576,0.004591368227731864
395000,3,2,0.1395864106351551,0.008502088280016641,2,0,0,3,7,0.20085015940488843,0.0,31,0,98019,47.7277,-121.962,0.30434782608695654,0.016090449954086317
485000,4,1,0.11816838995568685,0.0026039159262159226,1,0,0,4,7,0.17003188097768332,0.0,109,0,98103,47.6648,-122.343,0.25925925925925924,0.004935720844811754
189000,2,1,0.08862629246676514,0.005964784156564381,1,0,0,4,7,0.1275239107332625,0.0,104,0,98002,47.3089,-122.21,0.1706924315619968,0.005848255280073462
